Year,Month,Temperature,State
2023,July,15.5,South Australia
2023,July,14.5,Australian Capital Territory
2010,August,21.7,Queensland
2010,August,13.9,Tasmania
2010,August,13.3,Victoria
2010,August,16.4,New South Wales
2010,August,32.6,Northern Territory
2010,August,18.3,Western Australia
2010,August,15,South Australia
2010,August,12.8,Australian Capital Territory
2011,August,21.5,Queensland
2011,August,12,Tasmania
2011,August,13.5,Victoria
2011,August,16.6,New South Wales
2011,August,31.2,Northern Territory
2011,August,18.4,Western Australia
2011,August,15.5,South Australia
2011,August,12.3,Australian Capital Territory
2012,August,21.4,Queensland
2012,August,12.9,Tasmania
2012,August,13.6,Victoria
2012,August,16.5,New South Wales
2012,August,30.6,Northern Territory
2012,August,19.2,Western Australia
2012,August,15.1,South Australia
2012,August,13,Australian Capital Territory
2013,August,21.8,Queensland
2013,August,13.7,Tasmania
2013,August,14.7,Victoria
2013,August,18.3,New South Wales
2013,August,31.5,Northern Territory
2013,August,18.7,Western Australia
2013,August,15.9,South Australia
2013,August,13.4,Australian Capital Territory
2014,August,22.4,Queensland
2014,August,13.4,Tasmania
2014,August,13.5,Victoria
2014,August,17.8,New South Wales
2014,August,31.1,Northern Territory
2014,August,18.4,Western Australia
2014,August,15.1,South Australia
2014,August,12.2,Australian Capital Territory
2015,August,21.1,Queensland
2015,August,12.1,Tasmania
2015,August,12.7,Victoria
2015,August,16.4,New South Wales
2015,August,31.3,Northern Territory
2015,August,18.7,Western Australia
2015,August,14.5,South Australia
2015,August,11.5,Australian Capital Territory
2016,August,22.5,Queensland
2016,August,13.2,Tasmania
2016,August,13.8,Victoria
2016,August,17.9,New South Wales
2016,August,31.5,Northern Territory
2016,August,17.7,Western Australia
2016,August,15.1,South Australia
2016,August,12.7,Australian Capital Territory
2017,August,22.9,Queensland
2017,August,12.2,Tasmania
2017,August,14,Victoria
2017,August,18.2,New South Wales
2017,August,32.6,Northern Territory
2017,August,18.1,Western Australia
2017,August,16.2,South Australia
2017,August,12.9,Australian Capital Territory
2018,August,23.2,Queensland
2018,August,13.4,Tasmania
2018,August,14.1,Victoria
2018,August,18.7,New South Wales
2018,August,31.9,Northern Territory
2018,August,19.1,Western Australia
2018,August,15.9,South Australia
2018,August,13.3,Australian Capital Territory
2019,August,23.5,Queensland
2019,August,13.5,Tasmania
2019,August,14.3,Victoria
2019,August,18.4,New South Wales
2019,August,31.3,Northern Territory
2019,August,19.3,Western Australia
2019,August,16.1,South Australia
2019,August,13.7,Australian Capital Territory
2020,August,22.1,Queensland
2020,August,12.5,Tasmania
2020,August,13.2,Victoria
2020,August,17.6,New South Wales
2020,August,32,Northern Territory
2020,August,19.4,Western Australia
2020,August,15.1,South Australia
2020,August,13.2,Australian Capital Territory
2021,August,21.7,Queensland
2021,August,13,Tasmania
2021,August,13.5,Victoria
2021,August,17.2,New South Wales
2021,August,32.3,Northern Territory
2021,August,18.3,Western Australia
2021,August,15.2,South Australia
2021,August,11.9,Australian Capital Territory
2022,August,19.9,Queensland
2022,August,12.8,Tasmania
2022,August,13.4,Victoria
2022,August,16.8,New South Wales
2022,August,29.8,Northern Territory
2022,August,19,Western Australia
2022,August,14.8,South Australia
2022,August,12.7,Australian Capital Territory
2023,August,22.6,Queensland
2023,August,14.7,Tasmania
2023,August,14.8,Victoria
2023,August,18.7,New South Wales
2023,August,31.6,Northern Territory
2023,August,18.7,Western Australia
2023,August,15.5,South Australia
2023,August,14.5,Australian Capital Territory
2010,September,24.8,Queensland
2010,September,14.8,Tasmania
2010,September,15.1,Victoria
2010,September,19.4,New South Wales
2010,September,34,Northern Territory
2010,September,22.1,Western Australia
2010,September,16.1,South Australia
2010,September,16.3,Australian Capital Territory
2011,September,24.9,Queensland
2011,September,16.3,Tasmania
2011,September,18.4,Victoria
2011,September,19.9,New South Wales
2011,September,32.8,Northern Territory
2011,September,20.5,Western Australia
2011,September,20.5,South Australia
2011,September,18.2,Australian Capital Territory
2012,September,25.5,Queensland
2012,September,15.9,Tasmania
2012,September,17.7,Victoria
2012,September,20.1,New South Wales
2012,September,33.7,Northern Territory
2012,September,21.4,Western Australia
